recipient_parent_name1,current_total_value_of_award,potential_total_value_of_award,number_of_offers_received,number_of_employees,annual_revenue,awards_counts,recipient_name,recipient_parent_name,organizational_type,contracting_officers_determination_of_business_size,organizational_type,year
1000KLLC,108555.88,108555.88,11.0,180.0,27200000.0,9,"1000 K, L.L.C.",1000 K  L.L.C.,,OTHER THAN SMALL BUSINESS,,2014
10113THSTREETOPERATIONSLLC,0.0,0.0,1.0,0.0,0.0,2,101 13TH STREET OPERATIONS LLC,101 13TH STREET OPERATIONS LLC,,OTHER THAN SMALL BUSINESS,,2014
101MOBILITYLLC,0.0,0.0,3477.0,6.0,2000000.0,252,"101MOBILITY, LLC","101 MOBILITY, LLC",,SMALL BUSINESS,,2014
1031INC,28770.0,28770.0,4.0,26.0,3353305.0,1,10-31 INC,10-31 INC,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,CORPORATE NOT TAX EXEMPT,2014
10401FERNWOODLLC,0.0,0.0,4.0,1.0,3800000.0,4,"10401 FERNWOOD, LLC","10401 FERNWOOD, LLC",,OTHER THAN SMALL BUSINESS,,2014
104INVESTMENTLLC,0.0,0.0,1.0,50.0,3030000.0,1,"104 INVESTMENT, LLC","104 INVESTMENT, LLC",,SMALL BUSINESS,,2014
1075EMERGENCYLIGHTINGLLC,0.0,0.0,2.0,10.0,1000000.0,1,10 75 EMERGENCY LIGHTING L L C,10 75 EMERGENCY LIGHTING L L C,,SMALL BUSINESS,,2014
108EMERGENCYVEHICLESERVICELLC,14147.68,14147.68,2.0,12.0,902412.0,1,"10-8 EMERGENCY VEHICLE SERVICE, LLC",10-8 EMERGENCY VEHICLE SERVICE  LLC,PARTNERSHIP,SMALL BUSINESS,PARTNERSHIP,2014
10TANKERAIRCARRIERLLC,210000000.0,210000000.0,24.0,12.0,6851254.0,3,"10 TANKER AIR CARRIER, LLC",10 TANKER AIR CARRIER  LLC,OTHER,SMALL BUSINESS,OTHER,2014
1120VERMONTAVENUEASSOCIATESLLP,51000.0,228667.5,2.0,0.5,21967036.0,2,"1120 VERMONT AVENUE ASSOCIATES, LLP",1120 VERMONT AVENUE ASSOCIATES  LLP,,OTHER THAN SMALL BUSINESS,,2014
11228LONEEAGLEDRHOLDINGSLLC,0.0,0.0,48.0,200.0,9878836.0,16,11228 LONE EAGLE DR HOLDINGS LLC,11228 LONE EAGLE DR HOLDINGS LLC,,OTHER THAN SMALL BUSINESS,,2014
112515THSTREETLLC,0.0,0.0,2.0,1.0,13150746.0,2,"1125 15TH STREET, LLC","1125 15TH STREET, LLC",,OTHER THAN SMALL BUSINESS,,2014
1130WLAPALMAAVEINC,0.0,0.0,2.0,98.0,6700000.0,3,"1130 W. LA PALMA AVE, INC.","1130 W. LA PALMA AVE, INC.",,SMALL BUSINESS,,2014
1135NLEISURECTINC,0.0,0.0,3.0,133.0,9308839.0,4,"1135 N. LEISURE CT., INC.","1135 N. LEISURE CT., INC.",,SMALL BUSINESS,,2014
1240PINEBROOKROADLLC,0.0,692000.0,0.0,21059.0,1908703872.0,1,"1240 PINEBROOK ROAD, LLC",1240 PINEBROOK ROAD  LLC,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,CORPORATE NOT TAX EXEMPT,2014
17MACHINERYLLC,88049.62,88049.62,89.0,4.142857142857143,1437527.0714285714,14,"17 MACHINERY, LLC",17 MACHINERY  LLC,OTHER,SMALL BUSINESS,OTHER,2014
17THSTPHOTOSUPPLYINC,82563.07,82563.07,5026.0,12.0,19166666.666666668,18,"17TH ST. PHOTO SUPPLY, INC.","17TH ST. PHOTO SUPPLY, INC.",,OTHER THAN SMALL BUSINESS,,2014
1901GROUPLLC,0.0,0.0,1001.0,14.0,333000.0,2,"1901 GROUP, LLC","1901 GROUP, LLC",,SMALL BUSINESS,,2014
1980SUNSETPOINTROADLLC,0.0,0.0,0.0,77515.0,4687887000.0,1,"1980 SUNSET POINT ROAD, LLC",1980 SUNSET POINT ROAD LLC,,OTHER THAN SMALL BUSINESS,,2014
1CHOICETECHNOLOGYGROUPINC,4360.96,4360.96,7.0,1.0,73000.0,1,"1 CHOICE TECHNOLOGY GROUP, INC.",1 CHOICE TECHNOLOGY GROUP  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,CORPORATE NOT TAX EXEMPT,2014
1SOURCECONSULTINGINC,17796938.19,17796938.19,5.0,512.0,207232352.0,5,"1 SOURCE CONSULTING, INC.",1 SOURCE CONSULTING  INC.,,SMALL BUSINESS,,2014
1SOURCESOLUTIONSLLC,10500.0,10500.0,2.0,1.0,88828.0,2,"1 SOURCE SOLUTIONS, LLC",1 SOURCE SOLUTIONS  LLC,SOLE PROPRIETORSHIP,SMALL BUSINESS,SOLE PROPRIETORSHIP,2014
1SPATIALINC,0.0,0.0,1998.0,20.0,2000000.0,2,LASER SCAN INC,1SPATIAL INC.,,SMALL BUSINESS,,2014
1STAMERICANMEDICALDISTRIBUTORSINC,3958.61,3958.61,19.0,4.0,168667.0,9,"1ST AMERICAN MEDICAL DISTRIBUTORS, INC.",1ST AMERICAN MEDICAL DISTRIBUTORS  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,CORPORATE NOT TAX EXEMPT,2014
1STAMERICANSYSTEMSANDSERVICESLLC,0.0,0.0,253.0,11.0,720000.0,1,1ST AMERICAN SYSTEMS AND SERVICES LLC,1ST AMERICAN SYSTEMS AND SERVICES LLC,,SMALL BUSINESS,,2014
1STCHOICELLC,0.0,0.0,261.0,82.0,6300000.0,5,"1ST CHOICE STAFFING, LLC","1ST CHOICE, LLC",,SMALL BUSINESS,,2014
1STCHOICEMODULARINSTALLATIONLLC,27620.0,27620.0,13.0,14.2,1717348.4,5,1ST CHOICE MODULAR INSTALLATION LLC,1ST CHOICE MODULAR INSTALLATION LLC,PARTNERSHIP,SMALL BUSINESS,PARTNERSHIP,2014
1STCHOICESTAFFINGLLC,626374.25,626374.25,1.0,145.0,800000.0,1,1ST CHOICE STAFFING AGENCY,1ST CHOICE STAFFING  LLC,,SMALL BUSINESS,,2014
1STFIREPROTECTIONCODECONSULTANTSLLC,0.0,0.0,2.0,1.0,250000.0,1,"1ST FIRE PROTECTION & CODE CONSULTANTS, LLC","1ST FIRE PROTECTION & CODE CONSULTANTS, LLC",,SMALL BUSINESS,,2014
1STSENIORCARELLC,0.0,0.0,2010.0,2.0,510000.0,6,1ST SENIOR CARE LLC,1ST SENIOR CARE LLC,,SMALL BUSINESS,,2014
200PARKINC,0.0,0.0,3.0,45.0,9500000.0,1,"200 PARK, INC.","200 PARK, INC.",,OTHER THAN SMALL BUSINESS,,2014
2101LLC,72534.0,72534.0,1.0,25.0,3828958.0,1,"2101, L.L.C.",2101  L.L.C.,PARTNERSHIP,SMALL BUSINESS,PARTNERSHIP,2014
21STCENTURYSOLUTIONSLLC,7110.61,382110.61,1002.0,10.0,3829419.0,2,21ST CENTURY SOLUTIONS LLC,21ST CENTURY SOLUTIONS LLC,PARTNERSHIP,SMALL BUSINESS,PARTNERSHIP,2014
22NDCENTURYTEAMLLC,0.0,0.0,10.0,0.0,0.0,2,22ND CENTURY TEAM LLC,22ND CENTURY TEAM LLC,,SMALL BUSINESS,,2014
22NDCENTURYTECHNOLOGIESINC,3878417.63,14766886.07,313.0,98.0,12794524.842105264,19,22ND CENTURY TECHNOLOGIES INC.,22ND CENTURY TECHNOLOGIES INC.,,SMALL BUSINESS,,2014
233BROADCASTLLC,0.0,0.0,1.0,2.0,13000000.0,1,233 BROADCAST LLC,233 BROADCAST LLC,,SMALL BUSINESS,,2014
247HIGHERSTANDARDCORPORATION,0.0,0.0,0.0,70.0,1210000.0,1,LOUDEN COMPANIES CORPORATION,24-7 HIGHER STANDARD CORPORATION,,SMALL BUSINESS,,2014
247TECHNOLOGYINC,67800.0,84750.0,2.0,12.0,1500000.0,1,24/7 TECHNOLOGY INC.,24/7 TECHNOLOGY INC.,,SMALL BUSINESS,,2014
259HOLDINGSLTDLLC,0.0,0.0,1026.0,5.909090909090909,2307727.272727273,11,259 HOLDINGS LIMITED LIMITED LIABILITY COMPANY,"259 HOLDINGS, LTD., LLC",,SMALL BUSINESS,,2014
2600HIGHLANDSBLVDNORTHLLC,0.0,0.0,0.0,37706.0,1908728832.0,1,"2600 HIGHLANDS BLVD., NORTH, LLC",2600 HIGHLANDS BLVD.  NORTH  LLC,,OTHER THAN SMALL BUSINESS,,2014
270NETTECHNOLOGIESINC,0.0,0.0,999.0,7.0,758000.0,1,270NET TECHNOLOGIES,"270NET TECHNOLOGIES, INC.",,SMALL BUSINESS,,2014
2720JEROMEAVEINC,0.0,0.0,2.0,0.5,426000.0,2,2720 JEROME AVE INC,2720 JEROME AVE INC,,OTHER THAN SMALL BUSINESS,,2014
27FARMSOFHOMESTEADINC,0.0,0.0,1.0,10.0,243000.0,1,27 FARMS OF HOMESTEAD INC,27 FARMS OF HOMESTEAD INC,,SMALL BUSINESS,,2014
2900TWELFTHSTREETNORTHLLC,0.0,279166.67,0.0,21059.0,1908703872.0,1,"2900 TWELFTH STREET NORTH, LLC",2900 TWELFTH STREET NORTH  LLC,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,CORPORATE NOT TAX EXEMPT,2014
2CATSPRODUCTIONSLLC,16000.0,16000.0,1.0,2.0,3.0,1,2CATS PRODUCTIONS LLC,2CATS PRODUCTIONS LLC,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,CORPORATE NOT TAX EXEMPT,2014
2ISINC,0.0,774774.78,41.0,23.0,4780951.0,4,2IS INC.,2IS INC.,,SMALL BUSINESS,,2014
2MCOMPANYINC,0.0,0.0,2.0,100.0,50000000.0,1,"2 M COMPANY, INC.","2 M COMPANY, INC.",,SMALL BUSINESS,,2014
2MRESEARCHSERVICESLLC,150000.0,150000.0,3.0,8.0,1266666.6666666667,3,2M RESEARCH SERVICES LLC,2M RESEARCH SERVICES LLC,,SMALL BUSINESS,,2014
2MSOLUTIONSINC,72449.41,72449.41,3009.0,20.0,5108650.285714285,7,"2M SOLUTIONS, INC.","2M SOLUTIONS, INC.",,SMALL BUSINESS,,2014
2NDNATURELLC,87880.0,87880.0,1.0,4.0,1.0,1,"2ND NATURE, LLC",2ND NATURE LLC,PARTNERSHIP,SMALL BUSINESS,PARTNERSHIP,2014
308SYSTEMSINC,23075.0,23075.0,1.0,6.0,2800000.0,1,308 SYSTEMS INC,308 SYSTEMS INC,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,CORPORATE NOT TAX EXEMPT,2014
310DUSTCONTROLLLC,0.0,0.0,1.0,2.0,40000.0,1,310 DUST CONTROL LLC,310 DUST CONTROL LLC,,SMALL BUSINESS,,2014
32NORTHCORP,0.0,0.0,999.0,4.0,1103000.0,1,32 NORTH CORPORATION,32 NORTH CORP,,SMALL BUSINESS,,2014
360INC,111500.0,111500.0,6.0,4.0,360000.0,1,360 INC,360 INC,,SMALL BUSINESS,,2014
360ITINTEGRATEDSOLUTIONS,0.0,0.0,5.0,200.0,18000000.0,2,360 IT INTEGRATED SOLUTIONS,360 IT INTEGRATED SOLUTIONS,,SMALL BUSINESS,,2014
