recipient_parent_name1,current_total_value_of_award,potential_total_value_of_award,number_of_offers_received,number_of_employees,annual_revenue,awards_counts,recipient_name,recipient_parent_name,organizational_type,contracting_officers_determination_of_business_size,organizational_type,year
101MOBILITYLLC,0.0,0.0,203.0,6.0,2000000.0,87,"101MOBILITY, LLC","101 MOBILITY, LLC",,SMALL BUSINESS,,2013
10401FERNWOODLLC,0.0,0.0,3.0,1.0,3800000.0,3,"10401 FERNWOOD, LLC","10401 FERNWOOD, LLC",,OTHER THAN SMALL BUSINESS,,2013
1212INC,0.0,0.0,7.0,139.0,5000000.0,7,12 & 12 INC,12 & 12 INC,,OTHER THAN SMALL BUSINESS,,2013
17THSTPHOTOSUPPLYINC,0.0,0.0,10989.0,12.0,15000000.0,11,17TH STREET PHOTO SUPPLY INCORPORATED,"17TH ST. PHOTO SUPPLY, INC.",,SMALL BUSINESS,,2013
1STCHOICELLC,0.0,0.0,12.0,82.0,6300000.0,5,"1ST CHOICE STAFFING, LLC","1ST CHOICE, LLC",,SMALL BUSINESS,,2013
1STCHOICEMODULARINSTALLATIONLLC,0.0,0.0,16.0,15.0,675106.0,4,1ST CHOICE MODULAR INSTALLATION LLC,1ST CHOICE MODULAR INSTALLATION LLC,,SMALL BUSINESS,,2013
21COMPUTECHINC,0.0,250.0,665.0,12.0,575986.0,1,"21 COMPUTECH, INC.",21 COMPUTECH  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,CORPORATE NOT TAX EXEMPT,2013
21STCENTURYSOLUTIONSLLC,20169.25,20169.25,1998.0,10.0,3829419.0,2,21ST CENTURY SOLUTIONS LLC,21ST CENTURY SOLUTIONS LLC,PARTNERSHIP,SMALL BUSINESS,PARTNERSHIP,2013
22NDCENTURYTECHNOLOGIESINC,0.0,0.0,999.0,72.0,10995721.0,1,22ND CENTURY TECHNOLOGIES INC.,22ND CENTURY TECHNOLOGIES INC.,,SMALL BUSINESS,,2013
247TECHNOLOGYINC,0.0,0.0,0.0,5.0,600000.0,1,24/7 TECHNOLOGY INCORPORATED,24/7 TECHNOLOGY INC.,,SMALL BUSINESS,,2013
259HOLDINGSLTDLLC,0.0,0.0,1.0,6.0,2300000.0,1,259 HOLDINGS LIMITED LIMITED LIABILITY COMPANY,"259 HOLDINGS, LTD., LLC",,SMALL BUSINESS,,2013
270NETTECHNOLOGIESINC,0.0,0.0,1.0,7.0,758000.0,1,270NET TECHNOLOGIES,"270NET TECHNOLOGIES, INC.",,SMALL BUSINESS,,2013
270WEBINC,0.0,0.0,0.0,7.0,758000.0,1,270NET TECHNOLOGIES,"270 WEB, INC.",,SMALL BUSINESS,,2013
2CATSPRODUCTIONSLLC,146450.0,146450.0,14.0,2.0,3.0,12,2CATS PRODUCTIONS LLC,2CATS PRODUCTIONS LLC,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,CORPORATE NOT TAX EXEMPT,2013
2ISINC,0.0,0.0,7.0,20.0,4784657.0,2,2IS INC.,2IS INC.,,SMALL BUSINESS,,2013
2XLCORPORATION,0.0,0.0,999.0,15.0,0.0,1,2XL CORPORATION,2XL CORPORATION,,SMALL BUSINESS,,2013
303RDENGINEERINGGROUPLLC,0.0,0.0,9.0,6.0,375000.0,1,"303RD ENGINEERING GROUP, LLC","303RD ENGINEERING GROUP, LLC",,SMALL BUSINESS,,2013
347CONSTRUCTIONGROUP,7097211.0,7097211.0,5.0,0.0,980000.0,1,347 CONSTRUCTION GROUP,347 CONSTRUCTION GROUP,,SMALL BUSINESS,,2013
3BSFORESTRYINCORPORATED,28038.5,28038.5,9.0,70.0,70.0,1,"3B'S FORESTRY, INCORPORATED",3B'S FORESTRY  INCORPORATED,OTHER,SMALL BUSINESS,OTHER,2013
3DSYSTEMSCORPORATION,0.0,0.0,1.0,360.0,143.0,1,"3D SYSTEMS, INC.",3D SYSTEMS CORPORATION,,SMALL BUSINESS,,2013
3LINKSTECHNOLOGIESINC,0.0,250.0,1666.0,45.5,4844538.75,4,"3LINKS TECHNOLOGIES, INC","3LINKS TECHNOLOGIES, INC",,SMALL BUSINESS,,2013
3MCOMPANY,71232.26,124350199.26,2033.0,39774.0,15698821411.571428,28,3M COMPANY,3M COMPANY,,OTHER THAN SMALL BUSINESS,,2013
3PHOENIXINC,0.0,0.0,999.0,83.0,22402000.0,1,"3 PHOENIX, INC.","3 PHOENIX, INC.",,SMALL BUSINESS,,2013
3STARPAPERSLIMITED,0.0,0.0,1998.0,11.0,2000000.0,2,3 STAR PAPERS LIMITED,3 STAR PAPERS LIMITED,,SMALL BUSINESS,,2013
3TINTERNATIONALINC,0.0,0.0,2.0,25.0,5000000.0,2,3T INTERNATIONAL INCORPORATED,3T INTERNATIONAL INC,,SMALL BUSINESS,,2013
3VETSINC,0.0,24088310.0,3996.0,3.0,500000.0,4,"3-VETS, INC.",3-VETS  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,CORPORATE NOT TAX EXEMPT,2013
4CLICKSSOLUTIONSLLC,0.0,0.0,2997.0,3.0,1500000.0,3,4 CLICKS SOLUTIONS LIMITED LIABILITY COMPANY,"4CLICKS-SOLUTIONS, LLC",,SMALL BUSINESS,,2013
4HCONSTRUCTIONCORPORATION,0.0,0.0,4.0,14.0,5100000.0,1,4 H CONSTRUCTION CORPORATION,4 H CONSTRUCTION CORPORATION,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,CORPORATE NOT TAX EXEMPT,2013
4IMPRINTGROUPPLC,4274.0,4274.0,1.0,650.0,270900000.0,1,"4IMPRINT, INC.",4IMPRINT GROUP PLC,,OTHER THAN SMALL BUSINESS,,2013
4MDMEDICALSOLUTIONSLLC,0.0,0.0,31.0,2.0,500000.0,10,4MD MEDICAL SOLUTIONS LLC,4MD MEDICAL SOLUTIONS LLC,,SMALL BUSINESS,,2013
4WSOLUTIONSINC,0.0,0.0,1.0,10.0,509547.0,1,4W SOLUTIONS INC,4W SOLUTIONS INC,,SMALL BUSINESS,,2013
5ALARMFIREAPPARATUSINC,0.0,0.0,1998.0,12.0,2400000.0,2,5 ALARM FIRE APPARATUS INC,"5 ALARM FIRE APPARATUS, INC.",,SMALL BUSINESS,,2013
5XTECHNOLOGYLLC,0.0,0.0,999.0,9.0,723000.0,1,"5X TECHNOLOGY, LLC","5X TECHNOLOGY, LLC",,SMALL BUSINESS,,2013
601NJAVENUELLC,10128.0,10128.0,1.0,2.0,10718000.0,1,"601 NJ AVENUE, LLC",601 NJ AVENUE  LLC,,OTHER THAN SMALL BUSINESS,,2013
7DELTAINC,0.0,0.0,999.0,5.0,300000.0,1,7 DELTA INC.,7 DELTA INC.,,SMALL BUSINESS,,2013
84LUMBERCOMPANY,0.0,0.0,3.0,3300.0,2119894989.0,1,84 LUMBER COMPANY,84 LUMBER COMPANY,,SMALL BUSINESS,,2013
8600CLARAMMORRISSETTETRLLC,0.0,0.0,1.0,1.0,1191967.0,1,8600 CLARA M MORRISSETTE TR LLC,8600 CLARA M MORRISSETTE TR LLC,,SMALL BUSINESS,,2013
911ETCINC,0.0,0.0,1.0,17.0,2000000.0,1,"911 ETC, INC","911 ETC,  INC",,SMALL BUSINESS,,2013
911SAFETYEQUIPMENTLLC,3256.0,3256.0,6.0,19.0,4300000.0,1,911 SAFETY EQUIPMENT LLC,911 SAFETY EQUIPMENT LLC,PARTNERSHIP,SMALL BUSINESS,PARTNERSHIP,2013
A1FREEMANRELOCATIONSERVICESINC,0.0,10000000.0,4995.0,30.0,4000000.0,5,"A-1 FREEMAN RELOCATION SERVICES, INC.",A-1 FREEMAN RELOCATION SERVICES  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,CORPORATE NOT TAX EXEMPT,2013
A1PORTABLETOILETSYSTEMSINC,5630.2,5630.2,2.0,4.0,1.0,1,A1 PORTABLE TOILET SYSTEMS INC,A1 PORTABLE TOILET SYSTEMS INC,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,CORPORATE NOT TAX EXEMPT,2013
A1SCALESERVICEINC,0.0,0.0,2.0,12.0,2500000.0,1,"A-1 SCALE SERVICE, INC.","A-1 SCALE SERVICE, INC.",,SMALL BUSINESS,,2013
A1SERVICESPWMSGW,482708.99,482708.99,42.0,1.0,1.0,1,A-1 SERVICES PWMSGW,A-1 SERVICES PWMSGW,,SMALL BUSINESS,,2013
A1WATERDUMPTRUCKSERVICE,560301.55,560301.55,42.0,3.0,750000.0,1,A1 WATER & DUMP TRUCK SERVICE,A1 WATER & DUMP TRUCK SERVICE,,SMALL BUSINESS,,2013
A2BROTHERSCOMPANY,0.0,0.0,1.0,1.0,1.0,1,A 2 BROTHERS COMPANY,A 2 BROTHERS COMPANY,,SMALL BUSINESS,,2013
A2CPULLC,0.0,0.0,14.0,4.0,760000.0,2,A2CPU,A2CPU LLC,,SMALL BUSINESS,,2013
A2ZSUPPLYCORP,0.0,0.0,1.0,5.0,1240000.0,1,A2Z SUPPLY CORP,A2Z SUPPLY CORP,,SMALL BUSINESS,,2013
A3TECHNOLOGYINC,273501.6,273751.6,666.0,52.0,7224982.0,2,A3 TECHNOLOGY INC.,A3 TECHNOLOGY INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,CORPORATE NOT TAX EXEMPT,2013
AAALASERSERVICESUPPLIESINC,0.0,0.0,2997.0,6.0,3000000.0,3,"AAA LASER SERVICE & SUPPLIES, INC.","AAA LASER SERVICE & SUPPLIES, INC.",,SMALL BUSINESS,,2013
AAAMOBILESHOWERSINC,1374608.39,1374608.39,42.0,8.0,500000.0,1,"AAA MOBILE SHOWERS, INC.",AAA MOBILE SHOWERS  INC.,,SMALL BUSINESS,,2013
AADCOINC,0.0,0.0,1.0,14.0,2000000.0,1,AADCO INC,AADCO INC,,SMALL BUSINESS,,2013
AAHARRISENTERPRISES,0.0,0.0,1998.0,7.0,4500000.0,2,A&A HARRIS ENTERPRISES,A&A HARRIS ENTERPRISES,,SMALL BUSINESS,,2013
AAKBUSINESSENVIRONMENTSINCORPORATED,0.0,0.0,1998.0,10.0,1900000.0,2,AA K BUSINESS ENVIRONMENTS INCORPORATED,AA K BUSINESS ENVIRONMENTS INCORPORATED,,SMALL BUSINESS,,2013
AALAEIARASH,39375.0,39375.0,1.0,1.0,1.0,2,"AALAEI, ARASH",AALAEI  ARASH,SOLE PROPRIETORSHIP,SMALL BUSINESS,SOLE PROPRIETORSHIP,2013
AANDMAEROSPACEINC,16504.92,16504.92,4.0,36.0,6000000.0,2,"A AND M AEROSPACE, INC.","A AND M AEROSPACE, INC.",,OTHER THAN SMALL BUSINESS,,2013
AARCORP,716702026.5800004,901696608.5800004,135.0,5734.778947368421,1420526315.7894738,95,"AAR PARTS TRADING, INC.",AAR CORP.,,OTHER THAN SMALL BUSINESS,,2013
AARDVARKTACTICALINC,2772798.0,2772798.0,1.0,24.0,65000000.0,1,AARDVARK,AARDVARK TACTICAL  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,CORPORATE NOT TAX EXEMPT,2013
AASKITECHNOLOGYINC,160264337.49,512488081.9700001,4031.0,81.5,9831124.0,12,AASKI TECHNOLOGY INC,AASKI TECHNOLOGY INC,,SMALL BUSINESS,,2013
AATOWERINC,0.0,0.0,1.0,0.0,1.0,1,"AA TOWER, INC.","AA TOWER, INC.",,SMALL BUSINESS,,2013
AATRANSFERINC,0.0,0.0,5.0,65.0,9671000.0,1,"A & A TRANSFER, INC.",A & A TRANSFER  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,CORPORATE NOT TAX EXEMPT,2013
ABACOMMUNICATIONSLLC,489383.04,742973.04,1.0,2.0,144000.0,1,ABA COMMUNICATIONS LLC,ABA COMMUNICATIONS LLC,,SMALL BUSINESS,,2013
ABACUSTECHNOLOGYCORPORATION,0.0,0.0,9.0,402.0,56500000.0,1,ABACUS TECHNOLOGY CORPORATION,ABACUS TECHNOLOGY CORPORATION,,SMALL BUSINESS,,2013
ABASAEEDEIHAB,9450.0,9450.0,1.0,1.0,5000.0,1,"ABASAEED, EIHAB",ABASAEED  EIHAB,SOLE PROPRIETORSHIP,SMALL BUSINESS,SOLE PROPRIETORSHIP,2013
ABATEMENTTECHNOLOGIESINC,0.0,0.0,999.0,95.0,10000000.0,1,"ABATEMENT TECHNOLOGIES, INC.","ABATEMENT TECHNOLOGIES, INC.",,SMALL BUSINESS,,2013
ABBLTD,0.0,0.0,1.0,2600.0,30000000.0,1,VENTYX INC.,ABB LTD,,OTHER THAN SMALL BUSINESS,,2013
ABBOTTGENERALCONSTRUCTIONINC,34539.36,34539.36,35.0,35.0,15000000.0,3,"ABBOTT GENERAL CONSTRUCTION, INC.",ABBOTT GENERAL CONSTRUCTION  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,CORPORATE NOT TAX EXEMPT,2013
ABBOTTLABORATORIES,3329826.07,8211826.829999999,131.0,87965.16822429906,64913955126.71028,107,ABBOTT LABORATORIES,ABBOTT LABORATORIES,,OTHER THAN SMALL BUSINESS,,2013
ABBYYUSASOFTWAREHOUSEINC,0.0,0.0,1.0,52.0,40000000.0,1,"ABBYY USA SOFTWARE HOUSE, INC.","ABBYY USA SOFTWARE HOUSE, INC.",,SMALL BUSINESS,,2013
ABCMANAGEMENTSOLUTIONSLLC,0.0,0.0,3.0,1.0,12000000.0,1,"ABC MANAGEMENT SOLUTIONS, LLC","ABC MANAGEMENT SOLUTIONS, LLC",,SMALL BUSINESS,,2013
ABCMOVINGSERVICESINC,0.0,0.0,1.0,75.0,6000000.0,1,ABC MOVING SERVICES INC,ABC MOVING SERVICES INC,,SMALL BUSINESS,,2013
